"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
434378,"Verlander, Justin","R",1530,137,"53.6",-1.3390620428113722,7.028679738562092,0.12682878030594294,5.030947552514767
445276,"Jansen, Kenley","R",596,108,"53.4",-1.1146960099587842,6.3625167785234895,0.34732075093612796,4.3949557274282505
445926,"Chavez, Jesse","R",171,144,"21.1",-2.125787446250982,5.010350877192982,-0.14328041352638876,4.2440294706612045
448179,"Hill, Rich","L",171,118,"35.5",2.3052994357261034,5.383918128654971,0.43362091086301613,4.03749546079995
450203,"Morton, Charlie","R",1758,110,"21.3",-2.619874409255111,5.397087599544937,-0.2847708658052113,4.4867939689507
453286,"Scherzer, Max","R",547,141,"32.9",-2.192668452604855,5.610310786106033,-0.29584616152926185,4.382067930406333
455119,"Martin, Chris","R",493,140,"41.4",-1.934890513704374,6.163367139959432,-0.10934035498765246,4.550587449968002
458677,"Wilson, Justin","L",568,111,"51.9",1.252109491604864,6.366531690140845,-0.1769326937561196,4.546137308409279
471911,"Carrasco, Carlos","R",513,147,"34.6",-2.0475743656907315,5.856042884990253,-0.1410407079046398,4.5425999473579965
472610,"García, Luis","R",611,9999,"44.5",-1.7044225601410057,6.224369885433715,-0.1123167288072795,4.658683808723609
476594,"Stock, Robert","R",59,111,"5.5",-2.56126900246043,4.5530508474576274,-0.5010861627239495,4.358541072237832
477132,"Kershaw, Clayton","L",942,119,"55.2",1.1544596720966245,6.029617834394904,-0.11413968762181576,4.202134532095023
489119,"Miley, Wade","L",205,113,"49.6",1.5829275158590954,6.172439024390244,0.11615206295378462,4.447391710360419
489446,"Yates, Kirby","R",579,119,"19.7",-2.334963231117847,5.174628670120898,-0.3692021625890111,4.471936204470798
493603,"Ottavino, Adam","R",42,147,"24.7",-2.6925092496716054,5.3880952380952385,-0.5006418109668109,4.379316687887276
500779,"Quintana, Jose","L",1374,158,"41.5",1.9065885116233114,5.735240174672489,0.2180343144390216,4.23875325052477
502043,"Gibson, Kyle","R",280,110,"44.0",-1.716346343851325,6.266607142857143,-0.01654354882862235,4.6223161888846445
506433,"Darvish, Yu","R",360,135,"38.8",-1.7584482616558514,5.5376666666666665,-0.1582439988116459,4.254092274212716
518397,"Alexander, Scott","L",313,9999,"35.3",1.964054859285997,5.594057507987221,0.18281496956028997,4.331533971741471
518489,"Brasier, Ryan","R",313,112,"38.8",-1.8662736857436806,5.699904153354632,-0.2093157802418092,4.371099328845683
518585,"Cruz, Fernando","R",535,147,"48.7",-1.473799105152991,6.000355140186916,-0.011384469488730068,4.3331037713029135
518876,"Kelly, Merrill","R",2008,109,"23.7",-2.295642677701491,5.482016932270916,-0.257460470595337,4.587470848557641
518886,"Kimbrel, Craig","R",14,144,"21.3",-2.3785474769167,4.785714285714286,-0.4793815253374077,4.043452145403616
519008,"McFarland, T.J.","L",272,133,"13.8",2.9154586409397325,5.379926470588235,0.6424319322113873,4.8217929878368455
519141,"Pomeranz, Drew","L",487,112,"40.0",1.889843875769849,6.242279260780288,0.052443853927608,4.699760367413719
519151,"Pressly, Ryan","R",661,112,"55.7",-1.1393723721921767,5.897413010590015,0.17513827871129198,3.968252863645802
519242,"Sale, Chris","L",1486,144,"8.2",3.2900165924088016,4.848748317631225,0.9215885983379036,4.508094420293506
519326,"Strickland, Hunter","R",332,108,"34.8",-2.0732010280880595,5.960722891566265,-0.14872772131305972,4.619523998400017
521230,"Hendriks, Liam","R",232,111,"47.1",-1.7076262392503827,5.840172413793104,-0.20699476611961398,4.225900179789784
527048,"Pérez, Martín","L",318,145,"46.9",1.5611969603265652,5.7049685534591195,-0.002923367134160695,4.032157444590186
534910,"Hahn, Jesse","R",79,136,"25.2",-2.447748460087477,5.672911392405063,-0.3828633340102439,4.699410195401521
542881,"Anderson, Tyler","L",1923,108,"54.8",1.0823020623891764,6.301866874674987,-0.21080625985467227,4.464800176399213
542888,"Armstrong, Shawn","R",749,140,"41.3",-1.8967284253867762,5.779866488651535,-0.18139185830661916,4.270058811748998
543056,"Coulombe, Danny","L",474,142,"57.3",0.8872789973424126,6.113122362869198,-0.2945270401332762,4.272569306617929
543101,"DeSclafani, Anthony","R",355,109,"35.4",-1.7294197409252623,5.477464788732394,0.006015351861615315,4.244669055258467
543135,"Eovaldi, Nathan","R",1532,140,"31.2",-2.6530456332508523,5.351879895561358,-0.6298237593838865,4.123788970704589
543243,"Gray, Sonny","R",1811,138,"47.5",-1.2894817450829332,5.555499723909442,0.15612191115691296,3.97872167335485
543294,"Hendricks, Kyle","R",1673,108,"43.2",-1.7643805902532412,6.123962940824866,-0.0010911439204818398,4.466206057676018
543518,"McGough, Scott","R",136,109,"44.6",-1.490759693090978,5.904191176470588,0.008834012923351156,4.427838304760407
543859,"Tonkin, Michael","R",36,142,"12.6",-2.9948373464443847,5.3069444444444445,-0.6438410700138641,4.7821828976034855
544150,"Suárez, Albert","R",39,110,"36.0",-1.9509021378899385,6.053333333333334,-0.05582603409662235,4.673563771196124
547001,"Poteet, Cody","R",68,110,"36.8",-1.8695422791695415,6.156617647058823,-0.08832699748348537,4.823189772727273
547179,"Lorenzen, Michael","R",1610,118,"43.3",-1.6066395351338387,5.828857142857143,0.08900124860220768,4.225463275594823
547184,"Kelly, Michael","R",278,133,"36.0",-1.8523739311987102,6.1604676258992805,0.025131136908654896,4.796588860783031
547973,"Chapman, Aroldis","L",623,111,"52.5",1.299287892045739,6.194253611556983,-0.17927320108840267,4.2679019706554735
548384,"Raley, Brooks","L",76,121,"30.8",2.2423746266471136,5.574473684210527,0.2673975384651468,4.392076526878694
552640,"Kittredge, Andrew","R",446,110,"40.6",-1.6841516263231422,5.8815470852017935,0.004101200810532122,4.433548965652302
554340,"García, Yimi","R",358,141,"27.1",-2.4815752033770444,5.2074301675977654,-0.2783752803254364,4.080909784502933
554430,"Wheeler, Zack","R",2111,143,"23.4",-2.6956249352626953,5.175352913311227,-0.4360431670622687,4.197860863307469
554431,"Matzek, Tyler","L",127,147,"45.4",1.6724657095721631,5.968110236220473,-0.011180000561427136,4.2547595597007595
570632,"Ureña, José","R",304,9999,"30.3",-2.2892741641913728,5.691315789473684,-0.21500108593676706,4.479597308319261
571510,"Boyd, Matthew","L",1870,112,"25.0",2.5857725969581007,5.455411764705882,0.3504904507325536,4.412990354838095
571578,"Corbin, Patrick","L",1761,140,"36.9",1.8771571446080548,6.187194775695628,0.0066554799928334315,4.783632177168013
571760,"Heaney, Andrew","L",1733,134,"24.6",2.4747600002914285,4.798211194460473,0.40772548109313494,3.848416597700298
571771,"Hernández, Enrique","R",51,119,"64.7",-1.0143111153532394,6.792745098039216,-0.028013765684526886,4.708037050435148
571927,"Matz, Steven","L",893,138,"34.6",2.003553083280934,5.729462486002239,0.09752839194926673,4.415581316058949
571945,"Mikolas, Miles","R",1694,138,"42.1",-2.0122347780022296,6.4914757969303425,-0.13870619203353768,4.798550091441535
571946,"Miller, Shelby","R",542,109,"43.8",-1.599890628123434,5.367546125461255,0.018725388243187247,3.8122951907834586
571948,"Milner, Hoby","L",796,140,"-6.1",2.918821022124946,4.171256281407035,0.7040980489569058,4.406989186126712
572955,"Johnson, Pierce","R",623,144,"38.9",-1.91537417186888,6.182038523274478,-0.15609658357725112,4.758461450688549
573009,"Mantiply, Joe","L",191,109,"15.8",2.81471488951686,5.218795811518325,0.4842561511325139,4.559642072869129
573124,"Rogers, Taylor","L",603,113,"29.1",1.905979703885896,5.627810945273632,-0.1657409002225947,4.472192953680794
573186,"Stroman, Marcus","R",630,147,"33.2",-1.8956202209802215,5.256920634920635,-0.18334600882777355,4.135014184279773
573204,"Thielbar, Caleb","L",579,112,"55.8",0.8882391782697,6.1425043177892915,-0.4083353198242714,4.237840465613157
573262,"Yastrzemski, Mike","L",9,137,"52.3",1.4164375786667636,6.26,0.15789448405624873,4.627749574173103
579328,"Kikuchi, Yusei","L",2210,108,"35.4",1.9545288762506015,5.360411764705883,0.15939965781047097,4.086102416458973
592094,"Adam, Jason","R",876,135,"37.7",-1.9523272820712914,6.396175799086758,-0.03950758705100968,4.91654460641874
592155,"Booser, Cam","L",451,145,"37.2",1.9232867310502917,5.7793348115299334,0.19066101216943138,4.4656399259320745
592332,"Gausman, Kevin","R",1988,141,"36.4",-2.055799736605719,5.768224346076459,-0.13439190831262082,4.349812247818462
592351,"Gray, Jon","R",74,140,"29.1",-2.1477588188879637,5.418783783783784,-0.15727100737100735,4.310071026641615
592426,"Jackson, Luke","R",570,9999,"50.8",-1.2815324413388276,6.329754385964912,0.20466153469681334,4.502367040372768
592454,"Kahnle, Tommy","R",693,116,"32.8",-2.0192451699610774,5.534531024531025,-0.07672690708974131,4.284622957741407
592662,"Ray, Robbie","L",2095,137,"45.6",1.643020061348446,6.1902959427207636,0.035689434312236507,4.550569594272076
592773,"Stanek, Ryne","R",701,121,"49.1",-1.2296182922369068,6.488901569186876,0.35608779055131323,4.659667946478293
592779,"Stewart, Brock","R",538,142,"25.5",-2.303269242531386,5.338364312267658,-0.1638948989125897,4.318141269241728
592791,"Taillon, Jameson","R",1493,112,"46.5",-1.5256206722195882,6.151225720026792,0.06983824794973095,4.469097033810784
592836,"Walker, Taijuan","R",1234,143,"40.8",-1.9364434840808746,6.537350081037277,-0.12665671078214696,4.97356836043243
592866,"Williams, Trevor","R",1448,120,"16.3",-2.742001129293398,4.947265193370166,-0.4924476285441349,4.287036445315193
593423,"Montas, Frankie","R",500,121,"46.8",-1.4689161870532772,6.06536,0.13522243137254902,4.354214082709447
593576,"Neris, Héctor","R",455,9999,"38.5",-1.77849969823587,6.0368571428571425,0.04884602573896692,4.581215343088284
593833,"Suero, Wander","R",87,144,"36.2",-2.5494899142221987,5.847471264367816,-0.766901652426906,4.544084361874321
593958,"Rodriguez, Eduardo","L",1598,109,"40.0",1.9385371362627797,5.928310387984981,0.13021281977918028,4.411558919627699
593974,"Peralta, Wandy","L",777,135,"46.4",1.4305368604720794,6.113745173745174,-0.17645112928054105,4.423384737334738
594580,"Moll, Sam","L",167,113,"13.2",2.249992127180409,4.885449101796407,0.10792000064043036,4.380080804700759
594798,"deGrom, Jacob","R",1816,140,"30.7",-2.157618986034173,5.4801101321585906,-0.05977432453257634,4.233120608848265
594902,"Lively, Ben","R",668,114,"36.9",-1.7808834726659954,5.11812874251497,-0.10195970612251433,3.855937409672633
595014,"Treinen, Blake","R",175,119,"32.3",-2.201943686979493,6.239828571428571,-0.08264381818181818,4.900512597402598
595345,"Okert, Steven","L",687,117,"34.5",2.416170829959933,5.881921397379912,0.4486310994610892,4.530509960639013
595897,"Burdi, Nick","R",83,111,"14.4",-2.6861904407034927,5.222168674698795,-0.30542124863088715,4.609063676094753
595928,"Curtiss, John","R",174,109,"42.3",-1.7637667090083506,6.33080459770115,-0.10854636322658637,4.825132348843404
596001,"Junis, Jakob","R",734,114,"27.1",-2.3109436690871252,5.572125340599455,-0.27424965551491837,4.527552182872158
596112,"Stephenson, Robert","R",15,108,"48.8",-1.4913915872397037,6.165333333333333,0.05225202020202022,4.395829494949495
596133,"Weaver, Luke","R",641,147,"47.2",-1.3771523211519647,5.602854914196568,0.16135245675067644,3.939428845720674
596271,"Lawrence, Casey","R",276,9999,"19.6",-2.6235314477618794,5.1165942028985505,-0.5149311713684156,4.365100866400579
